JobTitle,Company,Location,Salary,TypeofJob,Skills,MoreInfo,clean_jobtitle,Label
[DI2] Senior Big Data Architecture - 1Y340,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội - Quận 1, Hồ Chí Minh","1,000 - 3,000 USD","Ngân Hàng, Tài Chính, Công nghệ thông tin","Big Data, Machine Learning, Data Architecture",https://topdev.vn/viec-lam/di2-senior-big-data-architecture-1y340-ngan-hang-tmcp-hang-hai-viet-nam-msb-2026636,big data architecture - y,Android
[DI2] Senior/Expert Data Scientist - 1Y341,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội","1,000 - 3,000 USD","Ngân Hàng, Tài Chính, Công nghệ thông tin","Java, Python, Scala, Data Science",https://topdev.vn/viec-lam/di2-senior-expert-data-scientist-1y341-ngan-hang-tmcp-hang-hai-viet-nam-msb-2026635,/ data scientist - y,Android
[DI2] Senior Business Analyst (Agile) - 1Y344,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội - Quận 1, Hồ Chí Minh","1,000 - 3,000 USD","Ngân Hàng, Tài Chính, Công nghệ thông tin","Agile, Business Analyst",https://topdev.vn/viec-lam/di2-senior-business-analyst-agile-1y344-ngan-hang-tmcp-hang-hai-viet-nam-msb-2026632,business analyst ( agile ) - y,Android
Product Manager (Merchant),TAPTAP,"Quận 1, Hồ Chí Minh",Thương lượng,Thương mại điện tử/ Bán lẻ,"Product Manager, Software Developer, Business Analyst, Product Design, UX/UI Design",https://topdev.vn/viec-lam/product-manager-merchant-taptap-2026641,product manager ( merchant ),Android
Unity Developer (C#/Unity/NFT Game) ~ $3000,VITALIFY ASIA ( Công ty TNHH Vitalify Á Châu),"Quận 3, Hồ Chí Minh","Lên tới 3,000 USD",Phần Mềm,"C#, Unity, .NET",https://topdev.vn/viec-lam/unity-developer-c-unity-nft-game-3000-vitalify-asia-cong-ty-tnhh-vitalify-a-chau-2026754,unity ( c # /unity/nft game ) ~,Android
Front-End Engineer (VueJS/UX) ~ $1700,VITALIFY ASIA ( Công ty TNHH Vitalify Á Châu),"Quận 3, Hồ Chí Minh","Lên tới 1,700 USD",Phần Mềm,"Front-End, VueJS, JavaScript",https://topdev.vn/viec-lam/front-end-engineer-vuejs-ux-1700-vitalify-asia-cong-ty-tnhh-vitalify-a-chau-2026753,front-end ( vuejs/ux ) ~,FrontEnd
Project Manager,FPT Information System,"Quận 7, Hồ Chí Minh - Quận Nam Từ Liêm, Hà Nội",Thương lượng,Phần Mềm,"Agile, Product Manager, Software Developer, Videos Editor",https://topdev.vn/viec-lam/project-manager-fpt-information-system-2026642,project manager,Android
"Back-End Developer (NodeJS/GraphQL API) ~ $1,700",VITALIFY ASIA ( Công ty TNHH Vitalify Á Châu),"Quận 3, Hồ Chí Minh","Lên tới 1,700 USD",Phần Mềm,"NodeJS, Back-End, API, NextJS, GraphQL, JavaScript",https://topdev.vn/viec-lam/back-end-developer-nodejs-graphql-api-1-700-vitalify-asia-cong-ty-tnhh-vitalify-a-chau-2026755,back-end ( nodejs/graphql api ) ~,BackEnd
[Urgent] Back-end Java Developer | Offer Up to 80Mil VND+++,GEE PACIFIC TECHNOLOGY SERVICE,"Quận Bình Thạnh, Hồ Chí Minh","45,000,000 - 80,000,000 VND","Dịch vụ IT, Software","Java, MySQL, J2EE, Back-End",https://topdev.vn/viec-lam/urgent-back-end-java-developer-offer-up-to-80mil-vnd-gee-pacific-technology-service-2026757,urgent back-end java offer vnd+++,FrontEnd
.NET Developers (.NET/ .NET Core/ Angular/ React),Công ty Cổ phần Tập đoàn Trí Nam,"Quận Cầu Giấy, Hà Nội","700 - 2,500 USD","Product, Dịch vụ IT",".NET, .NET Core, MVC, Microsoft, C#",https://topdev.vn/viec-lam/net-developers-net-net-core-angular-react-cong-ty-co-phan-tap-doan-tri-nam-2026756,.net developers ( .net/ .net / angular/ react ),FullStack
[Fulltime HN] Senior Java Developer,BnK Solutions,"Quận Cầu Giấy, Hà Nội",Thương lượng,Phần Mềm,"Java, JavaScript, Java Core, Java Spring Boot, Spring",https://topdev.vn/viec-lam/fulltime-hn-senior-java-developer-bnk-solutions-2026758,java,Android
2 Blockchain Developer,iTD Group,"Quận 7, Hồ Chí Minh","Lên tới 60,000,000 VND",Fintech,"NodeJS, Back-End, Database, Agile & Scrum, Blockchain, Solidity",https://topdev.vn/viec-lam/2-blockchain-developer-itd-group-2026821,blockchain,Android
Back-end Developer (NodeJS),iTD Group,"Quận 7, Hồ Chí Minh","Lên tới 50,000,000 VND",Fintech,"NodeJS, HTML & CSS, Angular, React, VueJS, JavaScript",https://topdev.vn/viec-lam/back-end-developer-nodejs-itd-group-2026822,back-end ( nodejs ),BackEnd
"Back-End Developer (NodeJS, ASP.Net Core)",Lucky Tech,"Quận 11, Hồ Chí Minh","Lên tới 25,000,000 VND",Phần Mềm,"JavaScript, NodeJS, Blockchain, ASP.NET Core",https://topdev.vn/viec-lam/back-end-developer-nodejs-asp-net-core-lucky-tech-2026768,back-end ( nodejs asp.net ),BackEnd
React Native,Lucky Tech,"Quận 11, Hồ Chí Minh","Lên tới 25,000,000 VND",Phần Mềm,"Android, iOS, React Native, Mobile, JavaScript",https://topdev.vn/viec-lam/react-native-lucky-tech-2026767,react native,Android
